Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);Nominal Power (W);;;Power (kW)
2000;0;0.72617121;700000;79.7221;0.94165;0.94002;0.99964;2.6322;0.055805;0.2908721;-10;11.983;639.59;0.023557;893.93;1000300;;;700
2000;0;0.933648699;900000;77.3296;0.98203;1.0003;0.99989;2.9671;0.069597;0.2998713;-10;13.966;669.07;0.026063;1187.26;1000300;;;900
2000;0;1.141126188;1100000;76.6305;1.0196;1.0665;1.0001;3.2877;0.084294;0.3026071;-10;15.942;696.58;0.028489;1514.56;1000300;;;1100
2000;0.2;0.101916669;100020;187.1428;0.71973;0.46846;0.9977;1.1238;0.018718;0.1239104;-10;4.6049;512.17;0.018507;88.69;1000300;;;100.02
2000;0.2;0.30568887;300000;103.7138;0.82658;0.73571;0.9988;1.7996;0.031114;0.2235857;-10;7.6408;577.01;0.019211;277.82;1000300;;;300
2000;0.2;0.50948145;500000;86.4552;0.88915;0.85689;0.99931;2.2429;0.043228;0.268219;-10;9.8973;613.54;0.021415;484;1000300;;;500
2000;0.2;0.71327403;700000;79.3454;0.93998;0.93246;0.99964;2.6405;0.055542;0.2922529;-10;12.001;640.23;0.023372;723.1;1000300;;;700
2000;0.2;0.91706661;900000;76.9166;0.97968;0.99342;0.99989;2.9811;0.069225;0.3014816;-10;13.999;669;0.025802;995.92;1000300;;;900
2000;0.2;1.12085919;1100000;76.2337;1.0168;1.0571;1.0001;3.3045;0.083857;0.3041823;-10;15.982;696.18;0.028197;1303.33;1000300;;;1100
2000;0.4;0.096871671;100020;182.6891;0.71109;0.4491;0.9977;1.1405;0.018273;0.1269311;-10;4.6349;513.55;0.017796;14.54;1000300;;;100.02
2000;0.4;0.290556901;300000;101.8264;0.82024;0.70217;0.9988;1.8183;0.030548;0.2277301;-10;7.6761;578.65;0.018667;160.12;1000300;;;300
2000;0.4;0.484261501;500000;85.1536;0.88397;0.83415;0.99931;2.2627;0.042577;0.2723189;-10;9.9395;615.78;0.020907;338.1;1000300;;;500
2000;0.4;0.677966102;700000;78.3398;0.93233;0.91141;0.99964;2.6603;0.054838;0.2960045;-10;12.047;642.93;0.022904;552.01;1000300;;;700
2000;0.4;0.871670702;900000;75.6685;0.97302;0.9754;0.99989;3.0228;0.068102;0.3064542;-10;14.095;668.94;0.025033;805.52;1000300;;;900
2000;0.4;1.065375303;1100000;75.0902;1.009;1.0319;1.0001;3.3519;0.082599;0.3088144;-10;16.096;695.62;0.027381;1094.25;1000300;;;1100
2000;0.6;0.268456376;300000;98.6454;0.80995;0.65909;0.9988;1.8502;0.029594;0.2350735;-10;7.737;581.63;0.017773;38.99;1000300;;;300
2000;0.6;0.447427293;500000;82.8588;0.87549;0.79499;0.99931;2.2996;0.041429;0.2798609;-10;10.017;619.09;0.020019;188.92;1000300;;;500
2000;0.6;0.62639821;700000;76.6072;0.92085;0.8813;0.99964;2.6955;0.053625;0.3026993;-10;12.127;647.19;0.022106;378.28;1000300;;;700
2000;0.6;0.805369128;900000;73.7882;0.96403;0.94404;0.99989;3.0816;0.066409;0.3142634;-10;14.231;670.63;0.023946;610.11;1000300;;;900
2000;0.6;0.984340045;1100000;73.2019;0.99761;0.99968;1.0001;3.4292;0.080522;0.3167806;-10;16.282;695.42;0.026091;880.89;1000300;;;1100
2000;0.6;1.163310962;1300000;73.7887;1.0307;1.052;1.0003;3.7611;0.095925;0.3142612;-10;18.343;720.27;0.028343;1197.95;1000300;;;1300
3000;0;0.111821658;100020;178.7957;0.71432;0.48908;0.9977;1.0306;0.017883;0.1296951;-10;4.2563;507.93;0.019282;156.03;1000300;;;100.02
3000;0;0.335397894;300000;100.0215;0.82762;0.76636;0.9988;1.6775;0.030006;0.2318395;-10;7.1649;572.77;0.019877;389.9;1000300;;;300
3000;0;0.55899649;500000;84.0826;0.89386;0.87846;0.99931;2.1117;0.042041;0.2757875;-10;9.3725;609.08;0.022121;633.08;1000300;;;500
3000;0;0.782595085;700000;78.3011;0.94727;0.95647;0.99964;2.4928;0.054811;0.2961508;-10;11.445;639.63;0.024432;912.17;1000300;;;700
3000;0;1.006193681;900000;76.69;0.99109;1.0282;0.99989;2.8285;0.069021;0.3023724;-10;13.448;671.21;0.027115;1228.32;1000300;;;900
3000;0.2;0.109884315;100020;177.5784;0.71173;0.48178;0.9977;1.0347;0.017762;0.1305842;-10;4.2634;508.53;0.019074;89.63;1000300;;;100.02
3000;0.2;0.329587027;300000;99.4463;0.82521;0.75802;0.9988;1.6833;0.029834;0.2331804;-10;7.1761;573.27;0.019694;282.09;1000300;;;300
3000;0.2;0.549311712;500000;83.7117;0.8916;0.8735;0.99931;2.1172;0.041856;0.2770094;-10;9.3845;609.93;0.021967;497.49;1000300;;;500
3000;0.2;0.769036397;700000;77.87;0.94516;0.95094;0.99964;2.5043;0.054509;0.2977902;-10;11.471;639.63;0.024185;753.09;1000300;;;700
3000;0.2;0.988761082;900000;76.302;0.98856;1.0198;0.99989;2.8421;0.068672;0.3039099;-10;13.48;671.02;0.026848;1048.59;1000300;;;900
