Alt;mn;Throttle;Power;SFC;SFC (gr/MJ);Fuel flow (kg/s);TET (K);COT (K);Eta;P3 (bar);T3 (K);PCN HP;PCN LP;PCN PT;Residual Thrust (N)
304.8;0.1;0.526315789;1000000;71.8996;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.578947368;1100000;70.2541;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.631578947;1200000;68.8942;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.684210526;1300000;67.7429;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.736842105;1400000;66.7767;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.789473684;1500000;65.9642;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.842105263;1600000;65.28;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.894736842;1700000;64.679;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;0.947368421;1800000;64.1397;0;0;0;0;0;0;0;0;0;0;1
304.8;0.1;1;1900000;63.7074;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.052652632;100040;189.5917;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.105278947;200030;129.9391;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.157905263;300020;107.5852;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.210531579;400010;95.3776;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.263157895;500000;87.8828;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.315789474;600000;82.5292;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.368421053;700000;78.5688;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.421052632;800000;75.5062;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.473684211;900000;73.1561;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.526315789;1000000;71.2617;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.578947368;1100000;69.6576;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.631578947;1200000;68.3277;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.684210526;1300000;67.1904;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.736842105;1400000;66.234;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.789473684;1500000;65.4464;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.842105263;1600000;64.7614;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.894736842;1700000;64.1783;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;0.947368421;1800000;63.6537;0;0;0;0;0;0;0;0;0;0;1
304.8;0.2;1;1900000;63.216;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.05002;100040;184.39;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.100015;200030;127.1849;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.15001;300020;105.46;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.2;400000;93.6269;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.25;500000;86.3386;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.3;600000;81.1954;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.35;700000;77.3215;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.4;800000;74.3692;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.45;900000;72.0118;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.5;1000000;70.1948;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.55;1100000;68.6603;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.6;1200000;67.3868;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.65;1300000;66.2825;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.7;1400000;65.3293;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.75;1500000;64.5834;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.8;1600000;63.9285;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.85;1700000;63.3417;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.9;1800000;62.8457;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;0.95;1900000;62.434;0;0;0;0;0;0;0;0;0;0;1
304.8;0.3;1;2000000;62.071;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.047638095;100040;177.7276;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.095252381;200030;123.1239;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.142866667;300020;102.5192;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.190480952;400010;91.2072;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.238095238;500000;84.1669;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.285714286;600000;79.2869;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.333333333;700000;75.6249;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.380952381;800000;72.7588;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.428571429;900000;70.5249;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.476190476;1000000;68.6957;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.523809524;1100000;67.2576;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.571428571;1200000;66.0659;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.619047619;1300000;65.0292;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.666666667;1400000;64.1197;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.714285714;1500000;63.3787;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.761904762;1600000;62.7556;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.80952381;1700000;62.2146;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.857142857;1800000;61.7285;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.904761905;1900000;61.3429;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;0.952380952;2000000;61.0034;0;0;0;0;0;0;0;0;0;0;1
304.8;0.4;1;2100000;60.7019;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.045472727;100040;168.7509;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.090922727;200030;118.0037;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.136368182;300010;98.6664;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.181822727;400010;88.1184;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.227272727;500000;81.3424;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.272727273;600000;76.8023;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.318181818;700000;73.4117;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.363636364;800000;70.7302;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.409090909;900000;68.6033;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.454545455;1000000;66.9055;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.5;1100000;65.4607;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.545454545;1200000;64.3564;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.590909091;1300000;63.4002;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.636363636;1400000;62.575;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.681818182;1500000;61.8846;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.727272727;1600000;61.2851;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.772727273;1700000;60.7671;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.818181818;1800000;60.3229;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.863636364;1900000;59.9655;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.909090909;2000000;59.6479;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;0.954545455;2100000;59.3703;0;0;0;0;0;0;0;0;0;0;1
304.8;0.5;1;2200000;59.118;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.055572222;100030;189.4603;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.111127778;200030;129.6295;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.166677778;300020;107.3967;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.222227778;400010;95.3333;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.277777778;500000;87.8014;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.333333333;600000;82.472;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.388888889;700000;78.544;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.444444444;800000;75.5549;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.5;900000;73.2569;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.555555556;1000000;71.3484;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.611111111;1100000;69.754;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.666666667;1200000;68.433;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.722222222;1300000;67.333;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.777777778;1400000;66.4021;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.833333333;1500000;65.6395;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.888888889;1600000;64.9794;0;0;0;0;0;0;0;0;0;0;1
609.6;0;0.944444444;1700000;64.3923;0;0;0;0;0;0;0;0;0;0;1
609.6;0;1;1800000;63.9033;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.055572222;100030;188.4593;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.111127778;200030;129.0465;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.166677778;300020;106.9785;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.222227778;400010;94.9806;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.277777778;500000;87.5052;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.333333333;600000;82.2048;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.388888889;700000;78.303;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.444444444;800000;75.3132;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.5;900000;73.0343;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.555555556;1000000;71.1431;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.611111111;1100000;69.5605;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.666666667;1200000;68.247;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.722222222;1300000;67.149;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.777777778;1400000;66.2274;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.833333333;1500000;65.4648;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.888888889;1600000;64.8111;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;0.944444444;1700000;64.2292;0;0;0;0;0;0;0;0;0;0;1
609.6;0.1;1;1800000;63.7306;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.052652632;100040;185.3812;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.105278947;200030;127.336;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.157905263;300020;105.7176;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.210531579;400010;93.9134;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.263157895;500000;86.6121;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.315789474;600000;81.4074;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.368421053;700000;77.5783;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.421052632;800000;74.5914;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.473684211;900000;72.3689;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.526315789;1000000;70.5234;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.578947368;1100000;68.9812;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.631578947;1200000;67.6917;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.684210526;1300000;66.5996;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.736842105;1400000;65.7013;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.789473684;1500000;64.9488;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.842105263;1600000;64.3052;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.894736842;1700000;63.7397;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;0.947368421;1800000;63.2543;0;0;0;0;0;0;0;0;0;0;1
609.6;0.2;1;1900000;62.8698;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.052647368;100030;180.4866;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.105278947;200030;124.7208;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.157905263;300020;103.6567;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.210526316;400000;92.0971;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.263157895;500000;85.1365;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.315789474;600000;80.1033;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.368421053;700000;76.3654;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.421052632;800000;73.485;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.473684211;900000;71.2567;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.526315789;1000000;69.4886;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.578947368;1100000;68.0145;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.631578947;1200000;66.7724;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.684210526;1300000;65.7052;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.736842105;1400000;64.8216;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.789473684;1500000;64.105;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.842105263;1600000;63.4708;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.894736842;1700000;62.9255;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;0.947368421;1800000;62.4683;0;0;0;0;0;0;0;0;0;0;1
609.6;0.3;1;1900000;62.079;0;0;0;0;0;0;0;0;0;0;1
609.6;0.4;0.05002;100040;174.0562;0;0;0;0;0;0;0;0;0;0;1
609.6;0.4;0.100015;200030;120.8054;0;0;0;0;0;0;0;0;0;0;1
609.6;0.4;0.15001;300020;100.8207;0;0;0;0;0;0;0;0;0;0;1
609.6;0.4;0.200005;400010;89.8133;0;0;0;0;0;0;0;0;0;0;1
609.6;0.4;0.25;500000;83.0118;0;0;0;0;0;0;0;0;0;0;1
