Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
1000;0.2;0.711102683;1500000;69.3354;0.94846;0.92861;0.99971;5.2095;0.104;0.3344459;-10;16.327;683.75;0.022183;1316.31;;;;1500
1000;0.2;0.805916374;1700000;68.1834;0.96511;0.96117;0.99984;5.5421;0.11591;0.3400964;-10;17.627;697.04;0.023239;1546.56;;;;1700
1000;0.2;0.900730065;1900000;67.5791;0.98249;0.98781;0.99995;5.8509;0.1284;0.3431375;-10;18.895;710.95;0.024384;1789.62;;;;1900
1000;0.2;0.995543757;2100000;67.2538;0.99922;1.0157;1;6.1543;0.14123;0.3447972;-10;20.16;724.33;0.025498;2047.86;;;;2100
1000;0.2;1.090357448;2300000;67.1318;1.0156;1.0445;1.0001;6.4511;0.1544;0.3454242;-10;21.42;737.31;0.026594;2319.25;;;;2300
1000;0.4;0.13595251;300020;119.6068;0.77304;0.50794;0.9981;2.5972;0.035884;0.1938764;-10;7.2041;571.21;0.015352;37.79;;;;300.02
1000;0.4;0.226572413;500000;94.3512;0.81185;0.62815;0.99861;3.217;0.047176;0.2457726;-10;9.1532;601.56;0.016294;156.71;;;;500
1000;0.4;0.317201378;700000;83.2232;0.84529;0.71125;0.99895;3.7025;0.058256;0.2786356;-10;10.792;624.98;0.017483;291.68;;;;700
1000;0.4;0.407830343;900000;76.9955;0.87471;0.7838;0.9992;4.1212;0.069296;0.3011727;-10;12.272;644.29;0.018683;440.1;;;;900
1000;0.4;0.498459308;1100000;73.0442;0.89742;0.83352;0.9994;4.5078;0.080349;0.3174645;-10;13.671;660.22;0.019805;602.58;;;;1100
1000;0.4;0.589088273;1300000;70.3686;0.91964;0.87522;0.99957;4.8753;0.091479;0.3295351;-10;15.026;674.43;0.020849;779.37;;;;1300
1000;0.4;0.679717238;1500000;68.5252;0.94113;0.9098;0.99971;5.2373;0.10279;0.3383998;-10;16.373;687.22;0.021807;973.47;;;;1500
1000;0.4;0.770346203;1700000;67.2147;0.96047;0.93968;0.99984;5.594;0.11427;0.3449979;-10;17.71;698.77;0.022696;1183.75;;;;1700
1000;0.4;0.860975168;1900000;66.4998;0.97586;0.97051;0.99995;5.9248;0.12635;0.3487069;-10;19.014;711.17;0.023696;1409.18;;;;1900
1000;0.4;0.951604133;2100000;66.2286;0.99223;0.99552;1;6.2321;0.13908;0.3501347;-10;20.288;724.38;0.024797;1648.99;;;;2100
1000;0.4;1.042233098;2300000;66.1342;1.008;1.0214;1.0001;6.5342;0.15211;0.3506343;-10;21.559;737.07;0.025866;1902.62;;;;2300
1000;0.6;0.295258984;700000;80.8286;0.83511;0.66525;0.99895;3.7513;0.05658;0.2868904;-10;10.857;628.82;0.016761;42.97;;;;700
1000;0.6;0.379618694;900000;74.9017;0.86375;0.72884;0.9992;4.1758;0.067411;0.3095917;-10;12.347;647.8;0.01794;164.01;;;;900
1000;0.6;0.463978404;1100000;71.226;0.88935;0.79081;0.9994;4.5639;0.078349;0.3255686;-10;13.755;664.47;0.019074;302.04;;;;1100
1000;0.6;0.548338114;1300000;68.7319;0.9093;0.83644;0.99957;4.9347;0.089352;0.3373822;-10;15.118;678.78;0.02012;455.48;;;;1300
1000;0.6;0.632697824;1500000;67.0522;0.92894;0.87468;0.99971;5.2956;0.10058;0.3458342;-10;16.465;691.9;0.021105;626.53;;;;1500
1000;0.6;0.717057533;1700000;65.8963;0.94892;0.90958;0.99984;5.646;0.11202;0.3519002;-10;17.796;704.23;0.022046;813.69;;;;1700
1000;0.6;0.801417243;1900000;65.0709;0.9672;0.93619;0.99995;6.0023;0.12363;0.3563638;-10;19.141;715.07;0.022888;1018.56;;;;1900
1000;0.6;0.885776953;2100000;64.6314;0.98291;0.96378;1;6.3449;0.13573;0.3587874;-10;20.474;726.01;0.02377;1240.72;;;;2100
1000;0.6;0.970136663;2300000;64.4884;0.99681;0.99095;1.0001;6.6698;0.14832;0.3595829;-10;21.785;737.36;0.024711;1477.3;;;;2300
1000;0.6;1.054496373;2500000;64.6112;1.0115;1.0135;1.0002;6.9744;0.16153;0.3588998;-10;23.072;749.41;0.025735;1727.61;;;;2500
2000;0;0.051426809;100020;214.789;0.67642;0.36076;0.99701;1.5612;0.021484;0.1079614;-10;4.1757;494.95;0.01529;160.7;;;;100.02
2000;0;0.154259859;300020;115.9257;0.77581;0.56387;0.9981;2.4144;0.034779;0.2000328;-10;6.7282;562.3;0.016006;372.01;;;;300.02
2000;0;0.257087768;500010;92.2223;0.81922;0.6877;0.99861;2.9949;0.046112;0.2514459;-10;8.5795;593.86;0.017108;572.05;;;;500.01
2000;0;0.359915677;700000;81.8016;0.85586;0.77921;0.99895;3.4548;0.057261;0.2834778;-10;10.152;618.08;0.018417;773.31;;;;700
2000;0;0.462748727;900000;75.9075;0.88375;0.83822;0.9992;3.8643;0.068317;0.3054894;-10;11.597;636.89;0.019644;983.72;;;;900
2000;0;0.565581778;1100000;72.2036;0.91095;0.88359;0.9994;4.2456;0.079424;0.3211602;-10;12.976;652.95;0.020786;1206.52;;;;1100
2000;0;0.668414829;1300000;69.7438;0.93569;0.92175;0.99957;4.6199;0.090667;0.3324874;-10;14.339;666.89;0.021807;1447.58;;;;1300
2000;0;0.771247879;1500000;68.4073;0.95539;0.95651;0.99971;4.9513;0.10261;0.3389834;-10;15.638;682.4;0.023027;1698.89;;;;1500
2000;0;0.87408093;1700000;67.7009;0.97511;0.98768;0.99984;5.2653;0.11509;0.3425202;-10;16.917;697.94;0.024288;1965.58;;;;1700
